"id";"steam_image_api";"appid";"game_name";"release_date";"developer";"publisher";"price";"uploaded_game_image"
1833;"https://cdn.cloudflare.steamstatic.com/steam/apps/243800/header.jpg?";243800;"Gas Guzzlers Extreme";"2013-10-08";"Gamepires";"Iceberg Interactive";18.99;"/placeholder.png"
1834;"https://cdn.cloudflare.steamstatic.com/steam/apps/243930/header.jpg?";243930;"Bound By Flame";"2014-05-08";"Spiders";"Focus Home Interactive";14.99;"/placeholder.png"
1835;"https://cdn.cloudflare.steamstatic.com/steam/apps/243950/header.jpg?";243950;"Divinity: Dragon Commander";"2013-08-06";"Larian Studios";"Larian Studios";29.99;"/placeholder.png"
1836;"https://cdn.cloudflare.steamstatic.com/steam/apps/243970/header.jpg?";243970;"Invisible, Inc.";"2015-05-12";"Klei Entertainment";"Klei Entertainment";14.99;"/placeholder.png"
1837;"https://cdn.cloudflare.steamstatic.com/steam/apps/244030/header.jpg?";244030;"Take On Mars";"2017-02-09";"Bohemia Interactive";"Bohemia Interactive";20.99;"/placeholder.png"
1838;"https://cdn.cloudflare.steamstatic.com/steam/apps/244050/header.jpg?";244050;"Rise of Flight United";"2013-09-05";"777 Studios";"1C-777";0.0;"/placeholder.png"
1839;"https://cdn.cloudflare.steamstatic.com/steam/apps/244070/header.jpg?";244070;"Sid Meier’s Ace Patrol";"2013-08-27";"Firaxis Games";"2K";3.99;"/placeholder.png"
1840;"https://cdn.cloudflare.steamstatic.com/steam/apps/244090/header.jpg?";244090;"Sid Meier’s Ace Patrol: Pacific Skies";"2013-11-05";"Firaxis Games";"2K";3.99;"/placeholder.png"
1841;"https://cdn.cloudflare.steamstatic.com/steam/apps/244160/header.jpg?";244160;"Homeworld Remastered Collection";"2015-02-25";"Gearbox Software;Aspyr (Mac)";"Gearbox Publishing;Aspyr (Mac)";26.99;"/placeholder.png"
1842;"https://cdn.cloudflare.steamstatic.com/steam/apps/244210/header.jpg?";244210;"Assetto Corsa";"2014-12-19";"Kunos Simulazioni";"Kunos Simulazioni";15.49;"/placeholder.png"
1843;"https://cdn.cloudflare.steamstatic.com/steam/apps/244410/header.jpg?";244410;"Supreme Ruler 1936";"2014-05-09";"BattleGoat Studios";"BattleGoat Studios";9.99;"/placeholder.png"
1844;"https://cdn.cloudflare.steamstatic.com/steam/apps/244430/header.jpg?";244430;"realMyst: Masterpiece Edition";"2014-02-05";"Cyan Worlds";"Cyan Worlds ";12.99;"/placeholder.png"
1845;"https://cdn.cloudflare.steamstatic.com/steam/apps/244450/header.jpg?";244450;"Men of War: Assault Squad 2";"2014-05-15";"Digitalmindsoft";"1C Entertainment";19.99;"/placeholder.png"
1846;"https://cdn.cloudflare.steamstatic.com/steam/apps/244590/header.jpg?";244590;"Epigenesis";"2014-08-01";"Dead Shark Triplepunch";"Dead Shark Triplepunch";0.0;"/placeholder.png"
1847;"https://cdn.cloudflare.steamstatic.com/steam/apps/244690/header.jpg?";244690;"Face Noir";"2013-10-17";"Mad Orange";"Phoenix Online Publishing";6.99;"/placeholder.png"
1848;"https://cdn.cloudflare.steamstatic.com/steam/apps/244710/header.jpg?";244710;"Shelter";"2013-08-28";"Might and Delight";"Might and Delight";6.99;"/placeholder.png"
1849;"https://cdn.cloudflare.steamstatic.com/steam/apps/244730/header.jpg?";244730;"Divekick";"2013-08-20";"Iron Galaxy";"Iron Galaxy";3.99;"/placeholder.png"
1850;"https://cdn.cloudflare.steamstatic.com/steam/apps/244750/header.jpg?";244750;"Aztez";"2017-08-01";"Team Colorblind";"Team Colorblind";14.99;"/placeholder.png"
1851;"https://cdn.cloudflare.steamstatic.com/steam/apps/244770/header.jpg?";244770;"StarMade";"2014-12-04";"Schine, GmbH";"Schine, GmbH";10.99;"/placeholder.png"
1852;"https://cdn.cloudflare.steamstatic.com/steam/apps/244810/header.jpg?";244810;"Foul Play";"2013-09-18";"Mediatonic;The Irregular Corporation";"Devolver Digital";9.99;"/placeholder.png"
1853;"https://cdn.cloudflare.steamstatic.com/steam/apps/244830/header.jpg?";244830;"Wing IDE 5";"2014-04-30";"Wingware";"Wingware";60.99;"/placeholder.png"
1854;"https://cdn.cloudflare.steamstatic.com/steam/apps/244850/header.jpg?";244850;"Space Engineers";"2019-02-28";"Keen Software House";"Keen Software House";15.49;"/placeholder.png"
1855;"https://cdn.cloudflare.steamstatic.com/steam/apps/244870/header.jpg?";244870;"Electronic Super Joy";"2013-08-23";"Michael Todd Games";"Michael Todd Games";5.49;"/placeholder.png"
1856;"https://cdn.cloudflare.steamstatic.com/steam/apps/244890/header.jpg?";244890;"Velocity®Ultra";"2013-12-12";"Curve Digital;FuturLab";"Curve Digital";6.49;"/placeholder.png"
1857;"https://cdn.cloudflare.steamstatic.com/steam/apps/244910/header.jpg?";244910;"Homesick";"2015-05-28";"Lucky Pause";"Lucky Pause";10.99;"/placeholder.png"
1858;"https://cdn.cloudflare.steamstatic.com/steam/apps/244930/header.jpg?";244930;"SNOW";"2019-02-14";"Poppermost Productions;WastedStudios";"Crytek";0.0;"/placeholder.png"
1859;"https://cdn.cloudflare.steamstatic.com/steam/apps/244950/header.jpg?";244950;"Where is my Heart?";"2014-05-29";"Schulenburg Software";"Die Gute Fabrik";5.59;"/placeholder.png"
1860;"https://cdn.cloudflare.steamstatic.com/steam/apps/245050/header.jpg?";245050;"SpellForce 2 - Demons of the Past";"2014-01-16";"THQ Nordic;Mind Over Matter Studios";"THQ Nordic";17.99;"/placeholder.png"
1861;"https://cdn.akamai.steamstatic.com/steam/apps/245170/header.jpg?t=1655426924";245170;"Skullgirls";"2013-08-22";"Lab Zero Games";"Marvelous;Autumn Games";6.99;"/placeholder.png"
1862;"https://cdn.cloudflare.steamstatic.com/steam/apps/245280/header.jpg?";245280;"ENSLAVED™: Odyssey to the West™ Premium Edition";"2013-10-24";"Ninja Theory";"BANDAI NAMCO Entertainment";14.99;"/placeholder.png"
1863;"https://cdn.cloudflare.steamstatic.com/steam/apps/245300/header.jpg?";245300;"Disney Epic Mickey 2:  The Power of Two";"2014-10-06";"Junction Point";"Disney Interactive";15.49;"/placeholder.png"
